"pkg","weight_oz","year","col","qty","exp_col_prop","exp_qty"
1,1.69,2007,"blue",13,0.24,13
1,1.69,2007,"brown",7,0.14,8
1,1.69,2007,"green",12,0.16,9
1,1.69,2007,"orange",9,0.2,11
1,1.69,2007,"red",7,0.13,7
1,1.69,2007,"yellow",8,0.14,8
2,1.69,2007,"blue",8,0.24,13
2,1.69,2007,"brown",3,0.14,7
2,1.69,2007,"green",13,0.16,8
2,1.69,2007,"orange",13,0.2,11
2,1.69,2007,"red",10,0.13,7
2,1.69,2007,"yellow",6,0.14,7
3,1.69,2007,"blue",8,0.24,13
3,1.69,2007,"brown",10,0.14,8
3,1.69,2007,"green",11,0.16,9
3,1.69,2007,"orange",10,0.2,11
3,1.69,2007,"red",5,0.13,7
3,1.69,2007,"yellow",10,0.14,8
4,1.69,2007,"blue",14,0.24,13
4,1.69,2007,"brown",4,0.14,8
4,1.69,2007,"green",6,0.16,9
4,1.69,2007,"orange",14,0.2,11
4,1.69,2007,"red",7,0.13,7
4,1.69,2007,"yellow",9,0.14,8
5,1.69,2007,"blue",6,0.24,12
5,1.69,2007,"brown",8,0.14,7
5,1.69,2007,"green",10,0.16,8
5,1.69,2007,"orange",12,0.2,10
5,1.69,2007,"red",8,0.13,7
5,1.69,2007,"yellow",8,0.14,7
6,1.69,2007,"blue",7,0.24,13
6,1.69,2007,"brown",11,0.14,8
6,1.69,2007,"green",13,0.16,9
6,1.69,2007,"orange",7,0.2,11
6,1.69,2007,"red",4,0.13,7
6,1.69,2007,"yellow",13,0.14,8
7,1.69,2007,"blue",8,0.24,12
7,1.69,2007,"brown",7,0.14,7
7,1.69,2007,"green",13,0.16,8
7,1.69,2007,"orange",8,0.2,10
7,1.69,2007,"red",7,0.13,7
7,1.69,2007,"yellow",9,0.14,7
8,1.69,2007,"blue",12,0.24,13
8,1.69,2007,"brown",10,0.14,7
8,1.69,2007,"green",6,0.16,8
8,1.69,2007,"orange",8,0.2,11
8,1.69,2007,"red",8,0.13,7
8,1.69,2007,"yellow",9,0.14,7
9,1.69,2007,"blue",6,0.24,13
9,1.69,2007,"brown",9,0.14,8
9,1.69,2007,"green",12,0.16,9
9,1.69,2007,"orange",14,0.2,11
9,1.69,2007,"red",8,0.13,7
9,1.69,2007,"yellow",6,0.14,8
10,1.69,2007,"blue",7,0.24,13
10,1.69,2007,"brown",8,0.14,8
10,1.69,2007,"green",12,0.16,9
10,1.69,2007,"orange",10,0.2,11
10,1.69,2007,"red",11,0.13,7
10,1.69,2007,"yellow",7,0.14,8
11,1.69,2007,"blue",16,0.24,13
11,1.69,2007,"brown",10,0.14,8
11,1.69,2007,"green",8,0.16,9
11,1.69,2007,"orange",8,0.2,11
11,1.69,2007,"red",9,0.13,7
11,1.69,2007,"yellow",3,0.14,8
12,1.69,2007,"blue",14,0.24,13
12,1.69,2007,"brown",7,0.14,8
12,1.69,2007,"green",13,0.16,9
12,1.69,2007,"orange",10,0.2,11
12,1.69,2007,"red",2,0.13,7
12,1.69,2007,"yellow",8,0.14,8
13,1.69,2007,"blue",13,0.24,12
13,1.69,2007,"brown",4,0.14,7
13,1.69,2007,"green",9,0.16,8
13,1.69,2007,"orange",8,0.2,10
13,1.69,2007,"red",12,0.13,7
13,1.69,2007,"yellow",6,0.14,7
14,1.69,2007,"blue",11,0.24,13
